"No","Name","Price","Quantity"
127,"แอปเปิลเอนวี่ เบอร์ 45","0-0","กล่อง"
128,"แอปเปิลแจ๊ส คละขนาด","1470-1680","กล่อง"
129,"แอปเปิลวอชิงตัน เบอร์ 175","0-0","กล่อง"
130,"แอปเปิลแกรนนี่สมิธ เบอร์ 113","1200-1450","กล่อง"
131,"แอปเปิลโรส เบอร์ 72","0-0","กล่อง"
132,"แอปเปิลวอชิงตัน เบอร์ 198","0-0","กล่อง"
133,"แอปเปิลเอนวี่ เบอร์ 36","0-0","กล่อง"
134,"แอปเปิลโรส เบอร์ 24","0-0","กล่อง"
135,"แอปเปิลพิงค์เลดี้ เบอร์ 135","720-920","กล่อง"
136,"แอปเปิลฉินก้วง เบอร์ 40","320-450","กล่อง"
137,"องุ่นไข่ปลานอก ไร้เมล็ด (ออสเตรเลีย)","0-0","ตะกร้า"
138,"ส้มซันคิสท์ (อเมริกา)","0-0","กล่อง"
139,"ละมุดหวานกรอบ เบอร์เล็ก","8-10",""
140,"แห้วจีน","0-0",""
141,"ละมุดหวานกรอบ เบอร์กลาง","13-15",""
142,"ละมุดมาเลย์ เบอร์กลาง","50-55",""
143,"ละมุดหวานสุก เบอร์กลาง","0-0",""
144,"ละมุดหวานกรอบ เบอร์ใหญ่","16-18",""
145,"ละมุดหวานสุก เบอร์เล็ก","0-0",""
146,"ละมุดหวานสุก เบอร์ใหญ่","0-0",""
147,"ละมุดมาเลย์ เบอร์เล็ก","0-0",""
148,"อินทผลัม อเมริกา – กล่อง 5 กก.","0-0",""
149,"มะพร้าวเผา – เบอร์ใหญ่(ย้ายไปลานฤดูกาล)","0-0",""
150,"มะพร้าวเผา – เบอร์กลาง (ย้ายไปลานฤดูกาล)","0-0",""
151,"เชอร์รี่ ออสเตรเลีย – กล่อง 1 – 9 กก.","0-0",""
152,"เชอร์รี่ แคนาดา – กล่อง 5 – 9 กก.","0-0",""
153,"เชอร์รี่นอก สีแดง (นิวซีแลนด์)","1900-2500","กล่อง"
154,"เชอร์รี่นอก สีทอง (นิวซีแลนด์)","1700-3800","กล่อง"
155,"เชอร์รี่นอก สีทอง (ออสเตรเลีย)","0-0","กล่อง"
156,"เชอร์รี่นอก สีแดง","2200-3000","กล่อง"
157,"เชอร์รี่นอก สีทอง (จีน)","0-0","กล่อง"
158,"เชอร์รี่ อเมริกา – กล่อง 5 – 9 กก.","3500-3800",""
159,"เชอร์รี่ นิวซีแลนด์ – กล่อง 1 – 9 กก.","0-0",""
160,"เชอร์รี่นอก สีแดง (จีน)","0-0","กล่อง"
161,"ทับทิมมรกต 4 A – 5 A","390-530",""
162,"ทับทิมนอก (อิสราเอล)","0-0","กล่อง"
163,"ทับทิมไทย","0-0","กิโลกรัม"
164,"ทับทิม-ตูนีเซีย(จีน) กล่อง-(10 – 12 กก.)","420-450",""
165,"ทับทิม-ตูนีเซีย(ตูนีเซีย) กล่อง-(10 – 12 กก.)","550-630",""
166,"มะกอกฝรั่ง – เบอร์กลาง","0-0","กิโลกรัม"
167,"เม็ดมะม่วงหิมพานต์ ถุงสีน้ำเงิน (จัมโบ้)","0-0",""
168,"ส้มโอขาวแตงกวา ขนาดเล็ก","20-20","กิโลกรัม"
169,"ส้มโอขาวพวง ขนาดเล็ก","0-0",""
170,"ลูกแพร์นอก สีเขียว (เซาท์แอฟริกา)","1450-1600","กล่อง"
171,"ลูกแพร์นอก สีน้ำตาล (เซาท์แอฟริกา)","1450-1600","กล่อง"
172,"ลูกแพร์นอก สีแดง (เซาท์แอฟริกา)","1450-1650","กล่อง"
173,"สาลี่ฮ่องเต้ จีน – คละ","0-0",""
174,"ลูกแพร์นอก สีเขียว (จีน)","0-0","กล่อง"
175,"พุทราสามรส – เบอร์กลาง","17-18","กิโลกรัม"
176,"พุทราสงวนทอง","0-0","กิโลกรัม"
177,"พุทราสาลี่ – เบอร์ใหญ่","0-0",""
178,"พุทราบอมเบย์ – คละไซส์","0-0",""
179,"พุทราสาลี่ – เบอร์เล็ก","0-0",""
180,"พุทรานมสด / สาลี่","0-0","กิโลกรัม"
181,"พุทราอินเดีย","0-0","กิโลกรัม"
182,"พุทราสามรส","0-0","กิโลกรัม"
183,"พุทราสามรส – เบอร์ใหญ่","20-20",""
184,"พุทราสาลี่ – เบอร์กลาง","0-0",""
185,"พุทราสามรส – เบอร์เล็ก","0-0",""
186,"มะปรางหวาน – เบอร์เล็ก","33-45","กิโลกรัม"
187,"มะปรางไข่ – เบอร์ใหญ่","0-0",""
188,"มะปรางไข่ – เบอร์เล็ก","0-0",""
189,"มะปรางไข่ – เบอร์กลาง","0-0",""
190,"พุทราบอมเบย์","0-0","กิโลกรัม"
191,"เม็ดมะม่วงหิมพานต์ ถุงสีเขียว (เล็ก)","0-0",""
192,"เกาลัดนอก (ญี่ปุ่น)","0-0","กล่อง"
193,"เกาลัดนอก (อเมริกา)","0-0","กล่อง"
194,"เกาลัดนอก (จีน)","0-0","กล่อง"
195,"ลูกท้อ (อเมริกา)","2550-3670","กล่อง"
196,"ลูกพลับ (เกาหลี) เบอร์ S","0-0","กล่อง"
197,"ลูกพลับ (ญี่ปุ่น) เบอร์ 2L","1750-2200","กล่อง"
198,"ลูกพลับ (อเมริกา) 10 ลูก/ลัง","0-0","กล่อง"
199,"ลูกพลับ (เกาหลี) เบอร์ 2L","460-480","กล่อง"
200,"ลูกพลับ (อเมริกา) 12 ลูก/ลัง","0-0","กล่อง"
201,"ลูกพลับ (นิวซีแลนด์)","0-0","กล่อง"
202,"ลูกท้อ (ญี่ปุ่น)","0-0","กล่อง"
203,"ลางสาด – เบอร์กลาง","0-0",""
204,"พุทราแห้ง","0-0","กิโลกรัม"
205,"กีวี สีเขียว (อิตาลี)","0-0","กล่อง"
206,"องุ่นดำมีเมล็ด ออสเตรเลีย","0-0",""
207,"ลางสาด – เบอร์ใหญ่","0-0",""
208,"มะพร้าวอ่อน / มะพร้าวน้ำหอม คละขนาด","0-0","ถุง"
209,"มะพร้าวเผา ขนาดจัมโบ้","0-0","ถุง"
210,"อินทผาลัมไทย","80-240","กิโลกรัม"
211,"ลูกแพร์นอก สีเขียว (ออสเตรเลีย)","1480-1570","กล่อง"
212,"แอปเปิ้ลเขียว นิวซีแลนด์ – กล่อง 110 ลูก","1250-1550","กล่อง"
213,"องุ่นแดงนอก","350-570","ตะกร้า"
214,"กล้วยหอมดิบ (เข่ง 7 หวี) – เบอร์เล็ก","100-180","เข่ง"
215,"มะม่วงเขียวมรกต ขนาดเล็ก","18-22",""
216,"สับปะรดห้วยมุ่น ขนาดกลาง","20-33","กิโลกรัม"
217,"สับปะรดห้วยมุ่น ขนาดเล็ก","18-28","กิโลกรัม"
218,"สับปะรดห้วยมุ่น ขนาดใหญ่","25-38","กิโลกรัม"
